                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6424,                 1.5661,                 1.0164,                0.87871,                0.91954,                0.93863,                0.55081,                 1.1803,                  1.031,                0.92979,              0.0002142,              0.0002142,              0.0002142
                      2,                  1.564,                 1.0214,                 0.9725,                0.87889,                0.85977,                0.93795,                0.51609,                 1.2912,                0.92998,                0.95887,             0.00043511,             0.00043511,             0.00043511
                      3,                 1.5446,                 1.0277,                0.99541,                 0.8967,                0.88276,                0.95157,                 0.5125,                 1.2976,                0.91059,                0.95935,             0.00065429,             0.00065429,             0.00065429
                      4,                 1.5633,                 1.0305,                0.99214,                0.90122,                0.87126,                0.94123,                0.62389,                  1.141,                0.79355,                0.91987,             0.00070768,             0.00070768,             0.00070768
                      5,                 1.5042,                0.98626,                0.95748,                0.93296,                0.84598,                 0.9397,                 0.6272,                 1.1438,                0.77641,                0.92508,             0.00070278,             0.00070278,             0.00070278
                      6,                 1.4359,                  0.946,                0.95325,                0.95311,                0.88774,                0.96562,                0.64032,                 1.1373,                0.64878,                0.92548,             0.00069653,             0.00069653,             0.00069653
                      7,                 1.4105,                0.96156,                0.99338,                0.95169,                0.92874,                0.97525,                 0.6499,                 1.1282,                0.61746,                0.91986,             0.00068893,             0.00068893,             0.00068893
                      8,                 1.3478,                0.81646,                0.95385,                0.95704,                0.94023,                0.98008,                0.65456,                 1.1237,                0.58018,                0.91433,             0.00068002,             0.00068002,             0.00068002
                      9,                 1.3911,                0.80135,                0.92753,                0.96162,                0.94253,                 0.9816,                0.65485,                  1.116,                0.57765,                0.91077,             0.00066984,             0.00066984,             0.00066984
                     10,                 1.4409,                0.84102,                0.93861,                0.97623,                0.94412,                0.98392,                0.64846,                 1.1212,                0.61628,                0.90969,             0.00065843,             0.00065843,             0.00065843
                     11,                 1.4788,                 0.9423,                0.96289,                0.97626,                 0.9452,                0.98406,                0.63593,                 1.1278,                0.62206,                0.91074,             0.00064582,             0.00064582,             0.00064582
                     12,                 1.2679,                0.84553,                0.91862,                0.95828,                0.95055,                0.98241,                0.62539,                 1.1233,                0.64252,                0.91333,             0.00063207,             0.00063207,             0.00063207
                     13,                 1.2987,                0.77462,                0.92717,                0.97168,                0.94713,                0.98746,                0.64171,                 1.1135,                0.58368,                0.91273,             0.00061724,             0.00061724,             0.00061724
                     14,                 1.2888,                0.72785,                0.91754,                0.98071,                0.93481,                0.98819,                0.64849,                 1.1184,                0.56157,                0.91059,             0.00060138,             0.00060138,             0.00060138
